http://static-maps.yandex.ru/1.x/?ll=-168.99324719332026,65.05279847993803&spn=4.878192515277035,4.878192515277035&l=sat;Беренгов пролив
http://static-maps.yandex.ru/1.x/?ll=-47.30748762099999,75.50311800000001&spn=17.01667013834701,17.01667013834701&l=sat;Гренландия
http://static-maps.yandex.ru/1.x/?ll=53.22947000823986,-20.241266219308997&spn=36.45223797926225,36.45223797926225&l=sat;Мадагаскар
http://static-maps.yandex.ru/1.x/?ll=9.486784433125154,0.7758912756802943&spn=39.29952228782244,39.29952228782244&l=sat;Африка
http://static-maps.yandex.ru/1.x/?ll=50.93343915227562,42.296266116543315&spn=7.209458012945223,7.209458012945223&l=sat;Каспийское море
http://static-maps.yandex.ru/1.x/?ll=47.14015674215485,23.32985406593949&spn=17.962643343487674,17.962643343487674&l=sat;Аравийский полуостров
http://static-maps.yandex.ru/1.x/?ll=172.1333972131482,-38.169567305100884&spn=14.474377559727204,14.474377559727204&l=sat;Новая зеландия
http://static-maps.yandex.ru/1.x/?ll=58.629385934131236,73.13440752629779&spn=5.607670432160142,5.607670432160142&l=sat;Остров Новая Земля
http://static-maps.yandex.ru/1.x/?ll=-66.11566222482487,-36.551255516981314&spn=52.527036426590904,52.527036426590904&l=sat;Южная Америка
http://static-maps.yandex.ru/1.x/?ll=-103.47411901376584,48.75645735413277&spn=42.94779369313927,42.94779369313927&l=sat;Северная Америка
http://static-maps.yandex.ru/1.x/?ll=122.49725092438439,-26.567332625250643&spn=29.18197954714603,29.18197954714603&l=sat;Австралия
http://static-maps.yandex.ru/1.x/?ll=136.65960229465054,35.46985561697528&spn=13.140850739877308,13.140850739877308&l=sat;Япония
http://static-maps.yandex.ru/1.x/?ll=80.42103112698766,16.142986977662726&spn=19.72573844994321,19.72573844994321&l=sat;Индия
http://static-maps.yandex.ru/1.x/?ll=-84.49763579959438,59.992527647345526&spn=9.431589800326611,9.431589800326611&l=sat;Гудзонов залив
http://static-maps.yandex.ru/1.x/?ll=72.93436705907496,59.992527647345526&spn=41.83291051560705,41.83291051560705&l=sat;Евразия
http://static-maps.yandex.ru/1.x/?ll=23.832508171352863,68.09273191302313&spn=16.117562587506757,16.117562587506757&l=sat;Скандинавский полуостров
http://static-maps.yandex.ru/1.x/?ll=-77.70813612993972,14.904775374250812&spn=21.237951045931784,21.237951045931784&l=sat;Карибское море
http://static-maps.yandex.ru/1.x/?ll=163.0132771126719,55.68290052957699&spn=10.411260102105565,10.411260102105565&l=sat;Камчатка
http://static-maps.yandex.ru/1.x/?ll=-1.187347900580134,55.682900529577&spn=6.207757120781594,6.207757120781594&l=sat;Великобритания
http://static-maps.yandex.ru/1.x/?ll=12.509130204562537,40.124095288199854&spn=25.931342068961914,25.931342068961914&l=sat;Средиземное море
